order_item_id,type,order_id,item_id,requested_quantity,processed_quantity,start_location_id,goal_location_id,start_y,start_x,goal_y,goal_x,rack_id,status,priority,assigned_agent,requested_time
1001,INBOUND,5001,HK003,2,0,0,0,77,86,7,103,S003,WAIT,1,,1
1002,OUTBOUND,6001,HK003,4,0,0,0,7,103,78,43,S003,PENDING,1,,2
1003,INBOUND,5001,KH003,1,0,0,0,77,86,76,80,G003,WAIT,1,,3
1004,OUTBOUND,7001,KH003,15,0,0,0,76,80,78,43,G003,PENDING,1,,4
1005,INBOUND,6001,NX005,4,0,0,0,77,86,58,88,B011,WAIT,1,,5
1006,OUTBOUND,6001,NX005,1,0,0,0,58,88,78,43,B011,PENDING,1,,6
1007,INBOUND,7001,KH002,14,0,0,0,77,86,12,62,K006,WAIT,1,,7
1008,OUTBOUND,7001,KH002,8,0,0,0,12,62,78,43,K006,PENDING,1,,8
1009,INBOUND,6001,HK001,13,0,0,0,77,86,49,13,A004,WAIT,1,,9
1010,OUTBOUND,6001,HK001,16,0,0,0,49,13,78,43,A004,PENDING,1,,10
1011,INBOUND,8001,NX003,24,0,0,0,77,86,45,17,P004,WAIT,1,,11
1012,OUTBOUND,5001,NX003,17,0,0,0,45,17,78,43,P004,PENDING,1,,12
1013,INBOUND,7001,KH004,15,0,0,0,77,86,11,28,H009,WAIT,1,,13
1014,OUTBOUND,8001,KH004,22,0,0,0,11,28,78,43,H009,PENDING,1,,14
1015,INBOUND,8001,HK002,22,0,0,0,77,86,36,97,F002,WAIT,1,,15
1016,OUTBOUND,8001,HK002,24,0,0,0,36,97,78,43,F002,PENDING,1,,16
1017,INBOUND,6001,KH001,11,0,0,0,77,86,44,55,S007,WAIT,1,,17
1018,OUTBOUND,8001,KH001,4,0,0,0,44,55,78,43,S007,PENDING,1,,18
1019,INBOUND,6001,HK004,12,0,0,0,77,86,33,12,A003,WAIT,1,,19
1020,OUTBOUND,6001,HK004,17,0,0,0,33,12,78,43,A003,PENDING,1,,20
