order_item_id,type,order_id,item_id,requested_quantity,processed_quantity,start_location_id,goal_location_id,start_y,start_x,goal_y,goal_x,rack_id,status,priority,assigned_agent
1001,PICK,,KH004,1,0,0,130,2,9,5,6,G010,WAIT,1,1
1002,MOVE,8001,NX002,10,0,120,301,1,4,8,14,A012,WAIT,2,4
1003,MOVE,5001,KH003,9,0,200,101,9,12,1,12,H005,WAIT,2,5
1004,INBOUND,7001,KH004,23,0,0,130,3,5,10,9,G003,WAIT,2,3
1005,OUTBOUND,6001,HK003,19,0,400,201,5,13,1,3,C002,WAIT,1,4
1006,OUTBOUND,6001,NX005,8,0,120,101,8,6,10,4,G002,WAIT,2,7
1007,OUTBOUND,6001,HK005,8,0,201,101,1,1,9,8,D007,WAIT,1,5
1008,PICK,5001,HK003,16,0,0,101,6,6,3,8,S012,WAIT,3,8
1009,PICK,6001,HK003,3,0,200,101,6,9,8,10,N008,WAIT,3,4
1010,INBOUND,6001,NX002,18,0,0,101,7,1,4,1,L010,WAIT,3,8
1011,OUTBOUND,5001,NX003,16,0,200,400,3,9,1,1,E008,WAIT,2,7
1012,MOVE,7001,HK002,22,0,200,101,3,12,3,13,I012,WAIT,3,4
1013,INBOUND,6001,NX002,19,0,0,301,10,3,5,7,Q009,WAIT,3,4
1014,INBOUND,7001,HK005,9,0,500,400,5,5,3,13,D010,WAIT,1,3
1015,INBOUND,,HK003,20,0,100,301,8,2,9,1,R006,WAIT,3,6
1016,INBOUND,7001,KH005,15,0,100,301,1,12,8,1,G001,WAIT,1,7
1017,PICK,7001,KH004,4,0,100,600,4,10,5,5,U010,WAIT,2,7
1018,INBOUND,6001,HK003,20,0,0,130,4,4,7,2,M001,WAIT,3,8
1019,INBOUND,,NX003,16,0,120,201,10,10,9,13,D012,WAIT,2,7
1020,MOVE,8001,NX004,19,0,400,400,6,2,4,13,H008,WAIT,3,1
1021,PICK,8001,NX001,3,0,201,600,4,3,8,13,Q002,WAIT,3,5
1022,MOVE,6001,NX005,23,0,400,400,4,1,5,9,P008,WAIT,2,7
1023,MOVE,8001,KH001,1,0,400,301,2,10,7,5,J010,WAIT,2,4
1024,PICK,7001,NX003,10,0,100,101,5,9,3,4,G012,WAIT,1,4
1025,MOVE,8001,KH003,16,0,120,400,7,10,1,11,H006,WAIT,1,4
1026,OUTBOUND,8001,NX004,15,0,400,201,2,3,3,7,T006,WAIT,3,4
1027,PICK,5001,KH002,7,0,100,130,7,11,2,11,G012,WAIT,2,8
1028,OUTBOUND,,NX003,14,0,120,301,6,6,4,3,O002,WAIT,1,1
1029,MOVE,5001,NX002,4,0,400,101,2,10,4,11,I012,WAIT,1,6
1030,PICK,7001,HK005,22,0,400,101,1,13,4,7,M002,WAIT,2,1
1031,OUTBOUND,6001,KH001,10,0,201,101,1,8,10,11,B011,WAIT,3,8
1032,INBOUND,5001,KH003,13,0,200,201,5,5,8,10,Q001,WAIT,2,6
1033,INBOUND,5001,HK001,2,0,500,400,10,9,2,9,F004,WAIT,1,7
1034,OUTBOUND,5001,HK005,5,0,201,600,4,4,7,14,K010,WAIT,1,6
1035,PICK,5001,KH005,11,0,0,130,1,5,1,12,G005,WAIT,2,8
1036,MOVE,8001,HK002,4,0,201,301,9,7,7,4,U003,WAIT,1,8
1037,OUTBOUND,8001,HK002,3,0,120,301,3,13,5,5,P004,WAIT,1,6
1038,OUTBOUND,8001,KH001,5,0,0,130,5,11,3,8,F001,WAIT,3,5
1039,INBOUND,7001,HK005,21,0,201,400,5,14,4,10,T010,WAIT,1,6
1040,OUTBOUND,7001,KH002,4,0,400,400,6,4,8,3,Q012,WAIT,1,4
1041,PICK,,KH004,8,0,400,301,10,1,2,3,C005,WAIT,2,5
1042,MOVE,,HK005,16,0,0,600,10,9,1,1,Q004,WAIT,2,2
1043,MOVE,8001,HK004,7,0,500,400,3,6,3,3,C007,WAIT,1,2
1044,OUTBOUND,8001,KH005,16,0,0,400,5,13,2,2,H004,WAIT,1,1
1045,OUTBOUND,5001,HK001,20,0,201,400,7,5,2,6,M010,WAIT,1,8
1046,OUTBOUND,7001,KH004,20,0,500,201,3,1,6,8,J009,WAIT,2,2
1047,INBOUND,8001,NX001,14,0,0,400,6,4,8,13,F006,WAIT,2,6
1048,PICK,6001,NX005,15,0,100,201,4,11,4,9,M006,WAIT,3,8
1049,MOVE,7001,KH003,7,0,500,201,4,9,6,4,N004,WAIT,3,3
1050,OUTBOUND,5001,HK005,12,0,120,130,1,7,5,7,M006,WAIT,3,1
1051,INBOUND,5001,KH003,7,0,200,201,6,10,3,7,U002,WAIT,3,6
1052,MOVE,6001,HK005,17,0,400,600,6,5,3,7,B007,WAIT,1,1
1053,PICK,5001,NX001,23,0,120,301,9,13,2,4,F001,WAIT,3,6
1054,INBOUND,8001,NX001,20,0,120,400,5,9,4,6,T003,WAIT,2,1
1055,OUTBOUND,5001,KH001,7,0,500,301,3,14,6,6,H007,WAIT,1,3
1056,MOVE,5001,KH004,17,0,200,201,4,9,9,6,M004,WAIT,1,7
1057,PICK,8001,KH003,15,0,200,600,7,2,8,14,U003,WAIT,1,4
1058,PICK,6001,HK005,20,0,200,400,9,9,4,12,Q009,WAIT,1,1
1059,MOVE,7001,NX001,3,0,201,101,3,6,4,12,I005,WAIT,2,1
1060,OUTBOUND,5001,HK002,11,0,200,201,4,3,9,8,P007,WAIT,2,6
1061,PICK,5001,KH003,3,0,120,130,4,5,2,9,D007,WAIT,2,1
1062,PICK,7001,NX001,21,0,120,600,7,12,3,9,H007,WAIT,2,8
1063,OUTBOUND,6001,HK005,8,0,201,201,2,10,4,11,C011,WAIT,1,3
1064,PICK,8001,NX004,10,0,500,301,2,10,10,6,M005,WAIT,2,7
1065,INBOUND,6001,KH003,20,0,201,600,3,10,3,12,P005,WAIT,1,6
1066,INBOUND,7001,NX002,12,0,500,101,1,4,7,13,K001,WAIT,3,1
