품목명,예측_주문일,재고_소진_예측일,예측_리드타임(일),현재_재고,안전_재고
N'PRIZ AH8,2020-01-01,2020-01-08,7,638,319
Kinergy EX,2020-01-01,2020-01-08,7,647,323
Optimo H426,2020-01-01,2020-01-08,7,657,328
Krugen HP71,2019-12-31,2020-01-07,7,612,306
i.Q Series,2019-12-31,2020-01-07,7,618,309
N'Blue HD Plus,2020-01-01,2020-01-08,7,737,368
N'fera AU5,2019-12-31,2020-01-07,7,607,303
Majesty9 Solus,2020-01-01,2020-01-08,7,661,330
Ventus Prime4,2020-01-01,2020-01-08,7,694,347
Ventus Air S,2020-01-02,2020-01-09,7,690,345
Solus TA31,2019-12-31,2020-01-07,7,629,314
