item,order_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
N'PRIZ AH8,2020-01-02,2020-01-09,7,638,319
Kinergy EX,2020-01-04,2020-01-11,7,647,323
Optimo H426,2019-12-29,2020-01-05,7,657,328
Krugen HP71,2020-01-11,2020-01-18,7,612,306
i.Q Series,2020-01-03,2020-01-10,7,618,309
N'Blue HD Plus,2019-12-29,2020-01-05,7,737,368
N'fera AU5,2019-12-28,2020-01-04,7,607,303
Majesty9 Solus,2020-01-01,2020-01-08,7,661,330
Ventus Prime4,2020-01-01,2020-01-08,7,694,347
Ventus Air S,2019-12-30,2020-01-06,7,690,345
Solus TA31,2020-01-05,2020-01-12,7,629,314
