item,order_date_p50,order_date_p90,arrival_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
N'PRIZ AH8,2025-09-08,2025-09-07,2025-09-08,2025-09-08,0,638,319
Kinergy EX,2025-09-07,2025-09-06,2025-09-10,2025-09-10,3,647,323
Optimo H426,2025-09-04,2025-09-02,2025-09-09,2025-09-08,4,657,328
Krugen HP71,2025-09-02,2025-08-31,2025-09-11,2025-09-09,7,612,306
i.Q Series,2025-09-01,2025-08-28,2025-09-13,2025-09-08,9,618,309
N'Blue HD Plus,2025-09-07,2025-09-05,2025-09-08,2025-09-08,1,737,368
N'fera AU5,2025-09-01,2025-08-25,2025-09-12,2025-09-06,11,607,303
Majesty9 Solus,2025-09-02,2025-09-01,2025-09-10,2025-09-09,7,661,330
Ventus Prime4,2025-09-03,2025-09-02,2025-09-07,2025-09-07,4,694,347
Ventus Air S,2025-09-06,2025-09-05,2025-09-10,2025-09-09,3,690,345
Solus TA31,2025-09-04,2025-09-01,2025-09-13,2025-09-10,6,629,314
