Target,Metric,Value
Demand(Model),MAE,12.25332343097854
Demand(Model),RMSE,15.609245172447437
Demand(Model),R2 Score,0.12209166233127555
Demand(Model),MAPE (%),28.011260681179667
Demand(Model),SMAPE (%),24.131898071169132
Demand(Baseline_Lag1),MAE,20.114781309555966
Demand(Baseline_Lag1),RMSE,25.12856966471092
Demand(Baseline_Lag1),R2 Score,-1.275206958955383
Demand(Baseline_Lag1),MAPE (%),43.37231994306289
Demand(Baseline_Lag1),SMAPE (%),41.62171990151098
Demand(Baseline_MA7),MAE,16.603285283172173
Demand(Baseline_MA7),RMSE,20.61863771007687
Demand(Baseline_MA7),R2 Score,-0.5318114267976395
Demand(Baseline_MA7),MAPE (%),36.339158339705904
Demand(Baseline_MA7),SMAPE (%),32.74346551052359
Lead(Model),MAE,3.517687192545104
Lead(Model),RMSE,4.445517231863052
Lead(Model),R2 Score,-0.9120603798232645
Lead(Model),MAPE (%),73.54924736615214
Lead(Model),SMAPE (%),52.821382157844376
Lead(Baseline_Lag1),MAE,3.6531332932910208
Lead(Baseline_Lag1),RMSE,4.517072336181637
Lead(Baseline_Lag1),R2 Score,-0.9741088580289219
Lead(Baseline_Lag1),MAPE (%),71.59418471831385
Lead(Baseline_Lag1),SMAPE (%),55.42558506652816
