item_id,APE_median,APE_P90,flag
N'PRIZ AH8,17.85799337918375,47.53588395496889,OK
Kinergy EX,17.8103245592436,47.321464529136804,OK
Optimo H426,17.761668670552563,47.10339362979269,OK
Krugen HP71,17.904702183318108,47.746802752613476,OK
i.Q Series,17.881466487773608,47.64176054263542,OK
N'Blue HD Plus,18.10387708187601,48.59623561722619,OK
N'fera AU5,17.85799337918375,47.53588395496889,OK
Majesty9 Solus,17.881466487773608,47.64176054263542,OK
Ventus Prime4,18.08257575079225,48.48753623349022,OK
Ventus Air S,17.761668670552563,47.10339362979269,OK
Solus TA31,17.99535885882572,48.15856236787849,OK
